station_id,station_name,lat,lon,year,Alkalitet,Aluminium,"Aluminium,ikkelabil","Aluminium,reaktivt",Ammonium,Arsen,Bly,Ca/Mg,Fluorid,Kalium,Kalsium,Klorid,Kobber,Konduktivitet,Krom,Magnesium,Natrium,Nikkel,Nitritt+nitrat,Sink,Sulfat,Totalfosfor,Totalnitrogen,Totalorganiskkarbon(TOC),pH,utm_north,utm_east,utm_zone
26462.0,HOH 1221,59.212,6.879,2019,0.045,,5.0,9.0,,,,1.5053763440860215,7.0,0.021,0.14,0.86,,0.64,,0.09300000000000001,0.6,,36.0,,0.28,2.0,70.0,0.52,5.62,6591916.35005172,37043.41134926642,33
26463.0,HOH 1238,59.456,7.596,1995,0.033,,10.0,62.0,,,,5.799999999999999,40.0,0.04,0.29,0.3,,0.61,,0.05,0.28,,93.0,,1.1,1.0,126.0,0.35,5.44,6614204.539684692,80827.74082291097,33
26463.0,HOH 1238,59.456,7.596,2019,0.05,,8.0,14.0,,,,6.0,44.0,0.025,0.39,0.24,,0.43,,0.065,0.32,,13.0,,0.4,1.0,39.0,0.54,5.86,6614204.539684692,80827.74082291097,33
26464.0,Reinevasstjørni,59.407,7.203,1995,0.03,,10.0,43.0,,,,1.8888888888888893,40.0,0.07,0.17,1.2,,0.91,,0.09,0.66,,110.0,,0.8,1.0,143.0,0.2,5.28,6611322.014545283,58003.253810975,33
26464.0,Reinevasstjørni,59.407,7.203,2019,0.051,,5.0,8.0,,,,3.292682926829269,10.0,0.033,0.27,0.66,,0.55,,0.08199999999999999,0.52,,22.0,,0.27,1.0,45.0,0.53,5.97,6611322.014545283,58003.253810975,33
26465.0,HOH 1080,59.338,6.861,1995,0.031,,10.0,10.0,,,,2.0,40.0,0.02,0.08,0.6,,0.52,,0.04,0.33,,27.0,,0.4,1.0,65.0,0.31,5.35,6606004.4325203085,37737.1778630396,33
26465.0,HOH 1080,59.338,6.861,2019,0.043,,5.0,6.0,,,,1.7708333333333337,11.0,0.026000000000000002,0.17,0.91,,0.61,,0.096,0.61,,2.0,,0.27,2.0,46.0,0.8,5.57,6606004.4325203085,37737.1778630396,33
26466.0,Den lange tjørni,59.655,7.231,1995,0.08199999999999999,,10.0,10.0,,,,11.777777777777779,40.0,0.08,1.06,0.6,,0.82,,0.09,0.42,,40.0,,0.5,1.0,89.0,0.32,6.63,6638628.81873514,62818.72789174161,33
26466.0,Den lange tjørni,59.655,7.231,2019,0.14,,5.0,8.0,,,,16.384615384615387,5.0,0.11,2.13,0.52,,1.43,,0.13,0.51,,3.0,,0.23,2.0,40.0,0.76,6.91,6638628.81873514,62818.72789174161,33
26467.0,Reinevatn,59.426,7.2,1995,0.035,,10.0,25.0,,,,5.6000000000000005,40.0,0.04,0.28,0.4,,0.54,,0.05,0.3,,68.0,,0.8,1.0,107.0,0.31,5.65,6613448.27644204,58082.08987528784,33
26467.0,Reinevatn,59.426,7.2,2019,0.046,,5.0,9.0,,,,5.434782608695652,23.0,0.055999999999999994,0.5,0.69,,0.64,,0.092,0.54,,64.0,,0.42,1.0,96.0,0.48,5.82,6613448.27644204,58082.08987528784,33
26468.0,Breivevatnet,59.571,7.278,1995,,,,,,,,,,,,,,,,,,,,,,2.0,,,,6629006.739181218,64366.30179628689,33
26468.0,Breivevatnet,59.571,7.278,2019,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6629006.739181218,64366.30179628689,33
26469.0,Ormsavatnet,59.521,7.116,1995,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6624541.140049971,54593.635121489875,33
26469.0,Ormsavatnet,59.521,7.116,2019,,,,,,,,,,,,,,,,,,,,,,2.0,,,,6624541.140049971,54593.635121489875,33
26470.0,Urdevatnet,59.581,7.024,1995,0.07200000000000001,,10.0,10.0,,,,6.55,140.0,0.06,1.31,1.2,,1.27,,0.2,0.72,,110.0,,1.3,1.0,126.0,0.2,6.58,6631813.002650488,50215.717731713725,33
26470.0,Urdevatnet,59.581,7.024,2019,0.094,,5.0,8.0,,,,8.142857142857142,120.0,0.037000000000000005,1.71,0.77,,1.29,,0.21,0.64,,29.0,,0.82,1.0,43.0,0.37,6.65,6631813.002650488,50215.717731713725,33
26471.0,Store Urevatn,59.44941434,7.12159258,1995,0.031,,10.0,47.0,,,,2.8461538461538463,40.0,0.09,0.37,1.6,,1.15,,0.13,0.88,,165.0,,1.2,5.0,185.0,0.2,5.35,6616568.635383744,53962.66511382855,33
26471.0,Store Urevatn,59.44941434,7.12159258,2019,0.047,,5.0,9.0,,,,4.9,10.0,0.06,0.49,0.79,,0.69,,0.1,0.6,,78.0,,0.41,1.0,100.0,0.44,5.79,6616568.635383744,53962.66511382855,33
26472.0,Skeivatnet,58.223,7.857,1995,0.075,,137.0,144.0,,,,4.7346938775510194,40.0,0.33,2.32,5.5,,3.7,,0.49,3.52,,122.0,,4.3,6.0,450.0,6.4,6.2,6475791.374099834,80896.81059853587,33
26472.0,Skeivatnet,58.223,7.857,2019,0.052000000000000005,,140.0,160.0,,,,2.9722222222222223,20.0,0.22,1.07,4.65,,2.61,,0.36,2.8,,103.0,,1.32,5.0,340.0,9.2,5.37,6475791.374099834,80896.81059853587,33
26474.0,Vråvatn,58.086,7.406,1995,0.055,,36.0,57.0,113.0,,,1.4871794871794872,50.0,1.36,1.74,11.0,,5.79,,1.17,5.54,,285.0,,5.6,7.0,615.0,3.1,5.91,6463499.844416024,52782.10629071249,33
26474.0,Vråvatn,58.086,7.406,2019,0.16,,74.0,82.0,9.0,,,4.378378378378379,31.0,0.9,3.24,6.54,,4.84,,0.74,4.52,,165.0,,2.19,15.0,430.0,7.6,6.63,6463499.844416024,52782.10629071249,33
26475.0,HOH 130,58.214,6.763,1995,0.034,,15.0,95.0,,,,0.8969072164948454,40.0,0.28,0.87,11.2,,8.84,,0.97,6.37,,122.0,,4.1,2.0,240.0,1.7,5.17,6482140.894965819,16771.411183247226,33
26475.0,HOH 130,58.214,6.763,2019,0.044000000000000004,,60.0,79.0,,,,1.0169491525423728,13.0,0.21,0.6,7.7,,3.78,,0.59,5.1,,81.0,,1.69,3.0,210.0,3.6,5.43,6482140.894965819,16771.411183247226,33
26476.0,HOH 14,58.096,6.87,1995,0.078,,15.0,25.0,33.0,,,2.1875,50.0,0.71,3.15,19.3,,8.95,,1.44,11.6,,210.0,,7.2,4.0,410.0,2.7,6.37,6468297.424860052,21442.392221502203,33
26476.0,HOH 14,58.096,6.87,2019,0.044000000000000004,,30.0,57.0,29.0,,,0.7701149425287357,38.0,0.25,0.67,13.8,,5.95,,0.87,8.45,,60.0,,2.45,3.0,200.0,3.3,5.44,6468297.424860052,21442.392221502203,33
26477.0,Brastadvatnet,58.10006073,6.6805792,1995,,,,,,,,,,,,,,,,,,,,,,9.0,,,,6470111.339528242,10382.984430103039,33
26477.0,Brastadvatnet,58.10006073,6.6805792,2019,,,,,,,,,,,,,,,,,,,,,,65.0,,,,6470111.339528242,10382.984430103039,33
26478.0,Engelsvatnet,58.22486843,6.66499638,1995,,,39.0,157.0,,,,,,,,,,,,,,,,,,9.0,,,,6484054.69283317,11190.139362516406,33
26478.0,Engelsvatnet,58.22486843,6.66499638,2019,,,110.0,150.0,,,,,,,,,,,,,,,,,,6.0,,,,6484054.69283317,11190.139362516406,33
26479.0,Skultjørnan,58.537,6.633,1995,0.019,,32.0,107.0,,,,0.9310344827586208,40.0,0.11,0.27,3.6,,2.38,,0.29,2.17,,129.0,,2.2,2.0,240.0,1.7,4.83,6518872.328444076,13651.256983890664,33
26479.0,Skultjørnan,58.537,6.633,2019,0.037000000000000005,,32.0,71.0,,,,0.875,9.0,0.086,0.21,2.94,,1.83,,0.24,2.07,,81.0,,0.71,2.0,170.0,2.7,5.2,6518872.328444076,13651.256983890664,33
26480.0,Djupvatnet,58.503,6.714,1995,0.017,,27.0,110.0,,,,0.7500000000000001,40.0,0.14,0.27,5.1,,3.02,,0.36,2.83,,155.0,,2.6,2.0,270.0,1.2,4.76,6514518.970143284,17876.410483630665,33
26480.0,Djupvatnet,58.503,6.714,2019,0.039,,49.0,89.0,,,,0.857142857142857,15.0,0.096,0.24,3.63,,2.07,,0.28,2.49,,99.0,,0.81,3.0,200.0,3.3,5.25,6514518.970143284,17876.410483630665,33
26481.0,Gyvatnet,58.291,7.714,1995,0.031,,100.0,214.0,,,,2.142857142857143,40.0,0.29,0.75,5.0,,3.48,,0.35,2.9,,76.0,,3.8,3.0,310.0,4.8,5.15,6484235.545246587,73346.87208674662,33
26481.0,Gyvatnet,58.291,7.714,2019,0.037000000000000005,,130.0,170.0,,,,1.8928571428571428,30.0,0.21,0.53,3.63,,2.45,,0.28,2.68,,61.0,,1.11,3.0,250.0,8.0,5.05,6484235.545246587,73346.87208674662,33
26482.0,Gardvatnet,58.319,7.599,1995,0.016,,70.0,129.0,,,,1.9782608695652173,60.0,0.3,0.91,5.9,,3.48,,0.46,3.49,,30.0,,3.9,5.0,230.0,4.0,4.76,6488077.768859133,66972.76204011933,33
26482.0,Gardvatnet,58.319,7.599,2019,0.04,,87.0,130.0,,,,1.870967741935484,52.0,0.24,0.58,3.82,,2.58,,0.31,2.94,,52.0,,1.62,5.0,210.0,7.0,5.16,6488077.768859133,66972.76204011933,33
26483.0,Grunnevatnet,58.246,7.6,1995,0.023,,105.0,200.0,124.0,,,1.9148936170212767,40.0,0.35,0.9,5.4,,3.69,,0.47,3.09,,220.0,,3.8,4.0,580.0,5.6,4.84,6479974.175920226,66136.54230808577,33
26483.0,Grunnevatnet,58.246,7.6,2019,0.033,,170.0,240.0,59.0,,,1.5151515151515151,15.0,0.22,0.5,4.01,,2.8,,0.33,2.9,,74.0,,1.11,6.0,340.0,11.2,4.91,6479974.175920226,66136.54230808577,33
26484.0,Kringlevatnet,58.19,7.668,1995,0.057999999999999996,,180.0,200.0,,,,3.85483870967742,40.0,0.5,2.39,5.9,,3.98,,0.62,3.65,,245.0,,4.7,6.0,565.0,7.5,5.88,6473325.027937964,69434.08718237252,33
26484.0,Kringlevatnet,58.19,7.668,2019,0.047,,130.0,200.0,,,,2.8409090909090913,24.0,0.19,1.25,4.45,,2.91,,0.44,3.11,,120.0,,1.43,7.0,370.0,10.9,5.24,6473325.027937964,69434.08718237252,33
26485.0,HOH 737,58.663,7.188,1995,,,61.0,103.0,,,,,,,,,,,,,,,,,,3.0,,,,6528941.8776462665,47452.23765646195,33
26485.0,HOH 737,58.663,7.188,2019,,,43.0,57.0,,,,,,,,,,,,,,,,,,3.0,,,,6528941.8776462665,47452.23765646195,33
26486.0,HOH 875,58.829,7.201,1995,0.026000000000000002,,23.0,103.0,,,,1.4,40.0,0.06,0.14,1.2,,1.71,,0.1,0.74,,80.0,,1.1,1.0,149.0,1.3,5.1,6547257.752595578,50358.05074204173,33
26486.0,HOH 875,58.829,7.201,2019,0.042,,33.0,47.0,,,,1.5942028985507246,11.0,0.016,0.11,0.71,,0.62,,0.069,0.72,,36.0,,0.26,2.0,83.0,1.8,5.45,6547257.752595578,50358.05074204173,33
26487.0,Kjosevatn,58.754,7.654,1995,,,82.0,167.0,,,,,,,,,,,,,,,,,,2.0,,,,6535975.8173980145,75488.74340284063,33
26487.0,Kjosevatn,58.754,7.654,2019,,,80.0,110.0,,,,,,,,,,,,,,,,,,2.0,,,,6535975.8173980145,75488.74340284063,33
26488.0,Storevatn,58.766,7.437,1995,0.013000000000000001,,74.0,122.0,,,,1.9230769230769231,40.0,0.05,0.25,1.4,,1.67,,0.13,0.83,,85.0,,1.5,4.0,230.0,4.3,4.7,6538705.616680951,63133.2832130359,33
26488.0,Storevatn,58.766,7.437,2019,0.03,,69.0,89.0,,,,3.0107526881720434,2.0,0.049,0.28,0.72,,1.19,,0.09300000000000001,0.73,,46.0,,0.33,5.0,200.0,6.1,4.91,6538705.616680951,63133.2832130359,33
